time,S,R,F,T,dose_u1
0,22500,7500,10000,30000,0
0.2,25317.015582978,8521.37695981317,10909.8957942929,33838.3925427912,0
0.4,28438.018184204,9664.85775217072,11889.8148257068,38102.8759363747,0
0.6,31912.8362484667,10952.4330286396,12949.1340505606,42865.2692771062,0
0.8,35778.3421061709,12401.5342591184,14093.8711198325,48179.8763652893,0
1,40070.3187382084,14029.9873590537,15329.4188981518,54100.3060972622,1.5
1.2,44127.4172259981,15879.4511996685,16671.1491190286,60006.8684256666,1.5
1.4,48377.4147803212,17936.4468078127,18107.0622522902,66313.8615881339,1.5
1.6,52814.6231852395,20236.3188667536,19648.240298886,73050.9420519931,1.5
1.8,57417.8479129268,22807.5038009351,21301.227491752,80225.3517138619,1.5
2,62157.5735042306,25677.1208413374,23070.789306447,87834.694345568,1.5
2.2,67005.3760901465,28913.58408874,24974.6656773348,95918.9601788866,1.5
2.4,71904.1919693512,32486.211542684,26994.089180143,104390.403512035,1.5
2.6,76815.7160906725,36447.3131430382,29139.4941826674,113263.029233711,1.5
2.8,81692.9579743489,40839.7797104938,31415.9594614032,122532.737684843,1.5
3,86484.7876695189,45701.9214557892,33825.3299345642,132186.709125308,1.5
3.2,91114.4749440733,51139.6057339934,36383.7204885675,142254.080678067,1.5
3.4,95556.6834585621,57095.5912488677,39064.8817819445,152652.27470743,1.5
3.6,99749.0584756189,63640.4955228116,41874.246260366,163389.553998431,1.5
3.8,103631.242896938,70837.0735559169,44812.5567081889,174468.316452855,1.5
4,107149.822819292,78735.7273943769,47875.7664354656,185885.550213669,1.5
4.2,110196.606896083,87491.9444732005,51072.1511653256,197688.551369283,1.5
4.4,112811.309291735,97004.518678421,54370.7089018265,209815.827970156,1.5
4.6,114935.130474986,107354.696458378,57767.8683563966,222289.826933364,1.5
4.8,116513.926201058,118625.733862077,61257.4974231782,235139.660063135,1.5
5,117514.77740642,130870.130647801,64828.5153225551,248384.90805422,1.5
5.2,117819.643370139,144287.29049566,68476.0911923784,262106.9338658,1.5
5.4,117574.872397072,158702.604433309,72172.4613743242,276277.47683038,1.5
5.6,116724.460662629,174165.034391661,75905.1681735754,290889.49505429,1.5
5.8,115249.180590685,190754.784544087,79661.6567272992,306003.965134772,1.5
6,113156.432056195,208486.255577135,83426.3292344858,321642.68763333,1.5
6.2,110370.850125043,227542.724057496,87180.6547973376,337913.574182539,1.5
6.4,107053.440877259,247648.793598302,90910.6873616182,354702.234475562,1.5
6.6,103260.699025795,268713.69211567,94603.8940102044,371974.391141465,1.5
6.8,98991.5348870338,290760.871776984,98243.1896891024,389752.406664018,1.5
