time,S,R,F,T,dose_u1
0,22500,7500,10000,30000,0
0.2,27499.5420815111,8466.82034496106,11523.5833364997,35966.3624264722,0
0.4,33440.7492626253,9545.58549844031,13239.0603604603,42986.3347610656,0
0.6,40512.0300931279,10751.3535360822,15169.0513283051,51263.3836292102,0
0.8,48894.7763416825,12096.2279363581,17329.0484184281,60991.0042780406,0
1,58794.6825495851,13592.5417910073,19732.0163044459,72387.2243405923,1.5
1.2,69406.521667941,15184.3294455758,22406.2844966924,84590.8511135167,1.5
1.4,81319.8555559214,16910.4384372011,25321.2848824301,98230.2939931224,1.5
1.6,94671.350749543,18782.3356025371,28488.9208218672,113453.68635208,1.5
1.8,109513.539703762,20803.1076911784,31901.9856009602,130316.64739494,1.5
2,125858.907729297,22972.666947526,35544.0047087848,148831.574676823,1.5
2.2,143850.04296313,25304.6294185922,39411.8617666421,169154.672381722,1.5
2.4,163133.857850671,27765.5367308187,43433.9588462598,190899.39458149,1.5
2.6,183673.33958169,30355.0178460808,47582.1007493782,214028.357427771,1.5
2.8,205334.899512001,33064.976338247,51814.465492616,238399.875850248,1.5
3,227912.829222316,35881.8063721557,56082.9329277545,263794.635594472,1.5
3.2,251223.705324178,38802.0097811275,60326.3353107369,290025.715105305,1.5
3.4,274829.46806683,41787.4325106507,64499.0493761976,316616.90057748,1.5
3.6,298433.775298622,44817.0868268381,68564.0296877152,343250.86212546,1.5
3.8,321736.003517423,47877.1675577116,72472.1488407702,369613.171075135,1.5
4,344413.607330862,50948.7704193895,76187.6501348871,395362.377750251,1.5
4.2,365945.420650055,54009.7806491276,79643.9399171081,419955.201299183,1.5
4.4,386268.362862525,57046.2043645567,82872.9143864807,443314.567227081,1.5
4.6,405234.600617777,60046.5853831843,85875.8531526558,465281.186000961,1.5
4.8,422518.097051977,62996.380674886,88625.0490120619,485514.477726863,1.5
5,437949.613289158,65886.5746500309,91120.0605832864,503836.187939189,0
